Date,Crude Oil,Brent Crude,Unleaded Gasoline,Heating Oil,Gas Oil,Natural Gas
2/1/02,0.0573,0.0471,0.0585,0.0447,0.0320,-0.0417
3/1/02,-0.0310,-0.0168,-0.0101,-0.0327,-0.0100,-0.0833
4/1/02,0.0595,0.0607,0.0388,0.0453,0.0086,0.0031
7/1/02,-0.0065,-0.0111,-0.0080,-0.0242,-0.0029,-0.0013
8/1/02,-0.0078,-0.0106,-0.0185,-0.0051,0.0012,0.0043
9/1/02,-0.0454,-0.0390,-0.0434,-0.0515,-0.0386,-0.0232
10/1/02,0.0158,0.0099,0.0181,0.0306,-0.0021,-0.0175
11/1/02,-0.0245,-0.0146,-0.0203,-0.0211,0.0098,0.0056
14/1/02,-0.0395,-0.0475,-0.0331,-0.0386,-0.0494,0.0165
15/1/02,0.0015,0.0043,0.0015,0.0034,0.0123,0.0146
16/1/02,0.0021,0.0049,0.0098,0.0166,-0.0015,0.0389
17/1/02,-0.0446,-0.0341,-0.0398,-0.0335,-0.0218,-0.0473
18/1/02,0.0017,0.0013,0.0007,-0.0027,-0.0031,-0.0080
21/1/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22/1/02,0.0170,0.0088,0.0132,0.0029,0.0110,-0.0542
23/1/02,0.0270,0.0229,0.0288,0.0200,0.0171,-0.0138
24/1/02,0.0102,0.0030,0.0089,0.0121,0.0091,0.0005
25/1/02,0.0146,0.0109,0.0210,0.0049,-0.0215,0.0066
28/1/02,0.0030,0.0149,-0.0037,-0.0105,0.0200,-0.0587
29/1/02,-0.0238,-0.0180,-0.0228,-0.0187,-0.0138,0.0410
30/1/02,-0.0259,-0.0220,-0.0252,-0.0175,-0.0346,0.0063
31/1/02,0.0207,0.0202,0.0226,0.0355,0.0268,0.0274
1/2/02,0.0452,0.0398,0.0496,0.0396,0.0396,0.0000
4/2/02,-0.0153,-0.0088,-0.0172,-0.0275,-0.0045,-0.0098
5/2/02,0.0000,-0.0094,-0.0135,-0.0021,-0.0105,-0.0205
6/2/02,-0.0146,-0.0107,-0.0246,-0.0170,0.0076,0.0129
7/2/02,-0.0032,-0.0030,0.0231,-0.0143,-0.0343,0.0297
8/2/02,0.0343,0.0243,0.0522,0.0282,0.0316,0.0256
11/2/02,0.0593,0.0625,0.0720,0.0530,-0.0033,0.0444
12/2/02,-0.0286,-0.0296,-0.0028,-0.0275,0.0583,0.0149
13/2/02,0.0225,0.0158,0.0292,0.0164,-0.0255,-0.0198
14/2/02,0.0000,-0.0028,-0.0091,0.0004,0.0102,-0.0281
15/2/02,0.0102,0.0011,0.0098,0.0046,-0.0014,0.0048
18/2/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19/2/02,-0.0290,-0.0198,-0.0297,-0.0253,-0.0161,0.0726
20/2/02,-0.0332,-0.0372,-0.0258,-0.0241,-0.0285,-0.0057
21/2/02,0.0251,0.0257,0.0170,0.0310,0.0240,0.0173
22/2/02,0.0057,-0.0017,0.0048,-0.0054,-0.0029,0.0145
25/2/02,-0.0285,-0.0169,-0.0335,-0.0380,-0.0226,-0.0591
26/2/02,0.0444,0.0392,0.0310,0.0489,0.0076,0.0172
27/2/02,-0.0056,-0.0017,0.0132,0.0012,0.0399,0.0158
28/2/02,0.0209,0.0263,0.0201,0.0303,-0.0044,-0.0292
1/3/02,0.0299,0.0288,0.0407,0.0297,0.0484,0.0008
4/3/02,0.0022,0.0027,0.0016,-0.0072,-0.0084,0.0532
5/3/02,0.0316,0.0393,0.0333,0.0285,0.0249,-0.0084
6/3/02,-0.0009,-0.0015,0.0126,-0.0036,-0.0028,0.0393
7/3/02,0.0263,0.0249,0.0333,0.0328,0.0601,0.0747
8/3/02,0.0081,0.0055,0.0067,0.0023,-0.0248,0.0201
11/3/02,0.0226,0.0251,0.0300,0.0244,0.0376,0.0778
12/3/02,-0.0011,-0.0093,-0.0045,0.0010,-0.0164,0.0015
13/3/02,0.0025,-0.0034,0.0073,0.0177,0.0301,-0.0448
14/3/02,0.0145,0.0186,0.0081,0.0082,-0.0076,0.0150
15/3/02,-0.0021,-0.0034,0.0103,-0.0094,-0.0013,0.0493
18/3/02,0.0235,0.0230,0.0291,0.0255,0.0063,0.0709
19/3/02,-0.0063,-0.0067,-0.0024,-0.0076,0.0163,-0.0147
20/3/02,-0.0131,-0.0048,-0.0153,-0.0043,0.0257,-0.0450
21/3/02,0.0261,0.0261,0.0127,0.0148,-0.0407,0.0959
22/3/02,-0.0102,-0.0028,-0.0283,-0.0186,0.0138,-0.0322
25/3/02,-0.0143,-0.0151,-0.0161,-0.0145,-0.0175,0.0311
26/3/02,0.0147,0.0132,0.0162,0.0241,0.0088,-0.0257
27/3/02,0.0199,0.0098,0.0212,0.0156,0.0124,-0.0252
28/3/02,0.0169,0.0125,0.0091,0.0043,0.0049,-0.0021
29/3/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1/4/02,0.0214,0.0000,0.0195,0.0200,0.0000,0.0728
2/4/02,0.0304,0.0722,0.0242,0.0324,0.0608,0.0342
3/4/02,-0.0054,-0.0159,-0.0249,-0.0017,-0.0034,-0.0414
4/4/02,-0.0362,-0.0087,-0.0300,-0.0311,0.0104,-0.0506
5/4/02,-0.0125,-0.0512,-0.0071,-0.0058,-0.0353,-0.0152
8/4/02,0.0141,0.0291,0.0292,0.0163,0.0125,0.0180
9/4/02,-0.0258,-0.0346,-0.0118,-0.0204,-0.0264,-0.0358
10/4/02,0.0122,0.0009,-0.0006,0.0001,-0.0032,-0.0029
11/4/02,-0.0418,-0.0402,-0.0530,-0.0447,-0.0378,-0.0234
12/4/02,-0.0614,-0.0591,-0.0726,-0.0716,-0.0385,0.0070
15/4/02,0.0458,0.0386,0.0661,0.0532,0.0000,0.0912
16/4/02,0.0084,0.0147,0.0088,0.0049,0.0258,-0.0400
17/4/02,0.0407,0.0296,0.0163,0.0260,0.0102,0.0532
18/4/02,0.0088,0.0150,0.0046,0.0019,0.0212,0.0034
19/4/02,0.0061,0.0069,-0.0031,0.0063,-0.0124,0.0110
22/4/02,-0.0015,0.0060,-0.0125,-0.0017,0.0038,0.0150
23/4/02,0.0083,0.0037,0.0105,0.0099,0.0197,-0.0002
24/4/02,-0.0090,-0.0101,-0.0184,-0.0073,-0.0098,-0.0523
25/4/02,0.0132,0.0087,0.0110,0.0176,0.0159,-0.0371
26/4/02,0.0141,0.0100,0.0227,0.0085,0.0037,0.0198
29/4/02,0.0168,0.0162,0.0174,0.0174,0.0168,0.0545
30/4/02,-0.0102,-0.0045,-0.0199,-0.0029,0.0035,0.0637
1/5/02,-0.0200,-0.0231,-0.0104,-0.0259,-0.0179,-0.0159
2/5/02,-0.0193,-0.0175,-0.0250,-0.0202,-0.0369,-0.0138
3/5/02,0.0144,0.0162,0.0036,0.0070,0.0075,0.0164
6/5/02,-0.0190,0.0000,-0.0169,-0.0235,0.0000,-0.0409
7/5/02,0.0158,-0.0074,0.0107,0.0153,-0.0002,0.0240
8/5/02,0.0362,0.0242,0.0080,0.0248,0.0303,0.0223
9/5/02,-0.0105,-0.0045,-0.0134,0.0085,-0.0019,-0.0045
10/5/02,0.0057,0.0162,0.0219,0.0188,0.0300,0.0110
13/5/02,0.0087,0.0040,0.0093,0.0087,-0.0073,0.0108
14/5/02,0.0278,0.0241,0.0321,0.0308,0.0233,0.0209
15/5/02,-0.0428,-0.0326,-0.0509,-0.0568,0.0011,-0.0516
16/5/02,-0.0048,-0.0058,0.0147,0.0050,-0.0304,-0.0070
17/5/02,0.0026,0.0004,0.0092,0.0063,-0.0096,-0.0021
20/5/02,0.0030,0.0018,0.0028,0.0069,0.0214,-0.0306
21/5/02,-0.0299,-0.0232,-0.0255,-0.0324,-0.0189,-0.0275
22/5/02,-0.0023,-0.0041,0.0131,0.0018,-0.0060,0.0183
23/5/02,-0.0083,-0.0046,-0.0108,-0.0065,-0.0097,-0.0045
24/5/02,-0.0104,-0.0065,-0.0010,-0.0085,-0.0122,-0.0216
27/5/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28/5/02,-0.0238,-0.0165,-0.0375,-0.0299,-0.0099,-0.0214
29/5/02,0.0192,0.0151,0.0202,0.0211,-0.0226,0.0384
30/5/02,-0.0432,-0.0405,-0.0504,-0.0481,-0.0076,-0.0842
31/5/02,0.0256,0.0150,0.0134,0.0206,0.0051,-0.0016
3/6/02,-0.0092,0.0000,-0.0028,-0.0095,0.0000,0.0077
4/6/02,0.0099,0.0000,0.0093,0.0122,0.0000,0.0262
5/6/02,-0.0175,-0.0034,-0.0028,-0.0107,-0.0064,-0.0206
6/6/02,-0.0040,-0.0010,0.0075,-0.0019,-0.0220,-0.0243
7/6/02,0.0005,-0.0039,-0.0070,-0.0013,0.0086,0.0109
10/6/02,-0.0165,-0.0161,-0.0160,-0.0110,0.0011,-0.0171
11/6/02,-0.0038,-0.0119,-0.0065,-0.0047,-0.0118,0.0028
12/6/02,0.0211,0.0143,0.0258,0.0231,0.0318,-0.0192
13/6/02,0.0413,0.0356,0.0361,0.0440,0.0350,0.0530
14/6/02,0.0104,0.0132,0.0101,0.0055,0.0025,0.0383
17/6/02,0.0076,0.0047,0.0053,0.0016,0.0182,0.0113
18/6/02,-0.0265,-0.0188,-0.0196,-0.0152,-0.0219,-0.0181
19/6/02,-0.0027,-0.0090,-0.0099,-0.0057,0.0122,0.0006
20/6/02,0.0143,0.0189,0.0031,0.0119,-0.0208,-0.0333
21/6/02,-0.0050,-0.0118,-0.0152,-0.0158,-0.0112,0.0055
24/6/02,0.0248,0.0193,0.0281,0.0264,0.0321,0.0549
25/6/02,-0.0057,-0.0047,-0.0054,-0.0070,0.0085,0.0043
26/6/02,0.0166,0.0005,0.0120,0.0099,-0.0182,-0.0415
27/6/02,0.0037,0.0088,0.0078,0.0034,0.0218,-0.0355
28/6/02,0.0000,-0.0009,-0.0105,0.0041,-0.0024,0.0028
1/7/02,-0.0018,0.0028,0.0070,-0.0001,0.0084,-0.0165
2/7/02,-0.0015,0.0028,-0.0026,0.0101,0.0048,-0.0148
3/7/02,0.0011,-0.0032,-0.0048,0.0008,0.0012,-0.0010
4/7/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5/7/02,0.0000,-0.0042,0.0000,0.0000,-0.0083,0.0000
