RXI$US_N.B.EU,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SZ,RXI_N.B.TA,RXI_N.B.TH,RXI_N.B.VE,JRXWTFB_N.B,JRXWTFN_N.B,JRXWTFO_N.B,RXI$US_N.B.AL,RXI$US_N.B.NZ,RXI_N.B.CA,RXI_N.B.HK,RXI_N.B.SL,Date
1.1296,1.638,1.89,8.2776,6.583,42.5,114.38,1177,3.8,10.0925,7.638,7.862,5.965,1.6905,1.4175,32.29,37,0.577,115.3544,95.0768,130.6878,0.652,0.5597,1.4875,7.7495,68.97,1999-02-08
1.13,1.6355,1.91,8.2776,6.5795,42.5,114.42,1177,3.8,10.08,7.65,7.8845,6.1,1.693,1.4183,32.32,37.13,0.5775,115.4592,95.2254,130.6866,0.6468,0.5546,1.4935,7.7495,68.6,1999-02-09
1.1331,1.629,1.91,8.2776,6.5625,42.45,114.45,1179,3.8,10.063,7.64,7.885,6.0895,1.6915,1.4083,32.31,37.1,0.5783,115.3747,95.1906,130.5235,0.6453,0.551,1.4943,7.749,68.6,1999-02-10
1.1303,1.6244,1.9,8.2776,6.579,42.51,114.7,1176.4,3.8,10.002,7.6305,7.89,6.07,1.689,1.4154,32.36,37.05,0.5784,115.3153,95.2351,130.2762,0.6495,0.5511,1.4889,7.7495,69,1999-02-11
1.1282,1.6311,1.9,8.2776,6.5915,42.6,114.32,1176.7,3.7997,9.95,7.6215,7.883,6.1055,1.6913,1.4157,32.35,36.95,0.5781,115.2792,95.2575,130.1351,0.6463,0.5493,1.4925,7.75,69.12,1999-02-12
1.1189,1.6317,1.91,8.2787,6.6425,42.51,118.08,1176,3.8,9.9225,7.737,7.933,6.135,1.6965,1.429,32.38,36.9,0.578,116.0742,96.3971,130.111,0.638,0.5382,1.5,7.7482,69,1999-02-16
1.123,1.6338,1.93,8.2787,6.623,42.5,119.03,1176,3.8,9.884,7.75,7.93,6.16,1.6985,1.4247,32.4,37.05,0.578,116.1133,96.4432,130.129,0.6336,0.5373,1.4995,7.7482,69.2,1999-02-17
1.1223,1.6338,1.91,8.2787,6.625,42.51,119.82,1183,3.8,9.885,7.796,7.966,6.18,1.7018,1.425,32.4,37.1,0.5776,116.09,96.3749,130.1958,0.635,0.5388,1.4873,7.7488,69.22,1999-02-18
1.1075,1.6255,1.94,8.2787,6.71,42.47,121,1206,3.8,9.935,7.833,8.02,6.26,1.7085,1.4462,32.5,37.65,0.5778,116.861,97.14,130.8233,0.6375,0.5412,1.4905,7.749,69.31,1999-02-19
1.1037,1.6238,1.96,8.2787,6.742,42.43,120.35,1218,3.8,9.93,7.844,8.073,6.2,1.7125,1.4483,33.2,37.7,0.5775,117.1189,97.2769,131.2589,0.64,0.542,1.4972,7.7486,69.39,1999-02-22
1.0993,1.6138,2.04,8.2787,6.76,42.48,121.45,1213,3.8,9.95,7.87,8.1,6.2225,1.722,1.4495,33.1,37.56,0.5784,117.4639,97.6737,131.4366,0.6392,0.5373,1.4975,7.7477,69.28,1999-02-23
1.0972,1.598,2.01,8.2787,6.782,42.6,121.9,1219,3.8,9.938,7.913,8.145,6.2045,1.7285,1.452,33.2,37.65,0.577,117.6883,97.9785,131.4645,0.6315,0.531,1.499,7.7491,69.46,1999-02-24
1.1068,1.606,2.04,8.2789,6.7195,42.6,119.26,1225,3.8,9.995,7.8625,8.115,6.19,1.7235,1.4345,33.14,37.47,0.577,117.2876,97.2805,131.7074,0.6272,0.5268,1.505,7.7487,69.54,1999-02-25
